source,destination,distance
a,b,17
a,c,38
a,d,44
a,e,19
a,f,15
a,g,30
a,h,14
a,i,39
a,j,19
a,k,39
a,l,23
a,m,43
a,n,50
a,o,29
a,p,12
a,q,35
a,r,49
a,s,39
a,t,23
a,u,20
a,v,40
a,w,47
a,x,49
a,y,48
b,c,36
b,d,48
b,e,42
b,f,20
b,g,22
b,h,41
b,i,38
b,j,25
b,k,31
b,l,20
b,m,24
b,n,11
b,o,23
b,p,46
b,q,40
b,r,36
b,s,40
b,t,11
b,u,36
b,v,28
b,w,24
b,x,37
b,y,105
c,d,16
c,e,31
c,f,24
c,g,41
c,h,40
c,i,30
c,j,50
c,k,47
c,l,26
c,m,48
c,n,19
c,o,36
c,p,24
c,q,38
c,r,36
c,s,35
c,t,18
c,u,14
c,v,35
c,w,23
c,x,35
c,y,22
d,e,39
d,f,48
d,g,47
d,h,22
d,i,13
d,j,34
d,k,31
d,l,34
d,m,26
d,n,37
d,o,41
d,p,30
d,q,37
d,r,30
d,s,17
d,t,42
d,u,39
d,v,12
d,w,28
d,x,18
d,y,27
e,f,41
e,g,19
e,h,46
e,i,29
e,j,42
e,k,25
e,l,41
e,m,50
e,n,10
e,o,36
e,p,25
e,q,29
e,r,31
e,s,41
e,t,27
e,u,12
e,v,43
e,w,18
e,x,21
e,y,19
f,g,31
f,h,29
f,i,21
f,j,30
f,k,12
f,l,44
f,m,30
f,n,28
f,o,20
f,p,15
f,q,37
f,r,20
f,s,40
f,t,47
f,u,17
f,v,16
f,w,28
f,x,38
f,y,11
g,h,46
g,i,49
g,j,29
g,k,21
g,l,22
g,m,12
g,n,41
g,o,26
g,p,34
g,q,37
g,r,26
g,s,49
g,t,48
g,u,24
g,v,27
g,w,39
g,x,19
g,y,32
h,i,31
h,j,38
h,k,20
h,l,36
h,m,12
h,n,30
h,o,18
h,p,39
h,q,32
h,r,20
h,s,31
h,t,48
h,u,50
h,v,14
h,w,35
h,x,50
h,y,14
i,j,18
i,k,46
i,l,23
i,m,49
i,n,36
i,o,44
i,p,38
i,q,47
i,r,37
i,s,20
i,t,13
i,u,33
i,v,33
i,w,16
i,x,14
i,y,22
j,k,46
j,l,44
j,m,28
j,n,50
j,o,44
j,p,17
j,q,42
j,r,15
j,s,27
j,t,25
j,u,31
j,v,17
j,w,18
j,x,24
j,y,38
k,l,12
k,m,31
k,n,25
k,o,13
k,p,30
k,q,37
k,r,14
k,s,13
k,t,14
k,u,36
k,v,12
k,w,49
k,x,24
k,y,26
l,m,14
l,n,34
l,o,11
l,p,43
l,q,23
l,r,10
l,s,36
l,t,40
l,u,28
l,v,20
l,w,17
l,x,41
l,y,36
m,n,34
m,o,13
m,p,26
m,q,36
m,r,16
m,s,15
m,t,30
m,u,27
m,v,42
m,w,11
m,x,47
m,y,19
n,o,19
n,p,43
n,q,44
n,r,20
n,s,34
n,t,10
n,u,30
n,v,21
n,w,44
n,x,24
n,y,35
o,p,29
o,q,33
o,r,46
o,s,15
o,t,18
o,u,22
o,v,49
o,w,20
o,x,11
o,y,39
p,q,44
p,r,31
p,s,39
p,t,37
p,u,31
p,v,49
p,w,34
p,x,28
p,y,20
q,r,12
q,s,43
q,t,48
q,u,21
q,v,44
q,w,41
q,x,31
q,y,46
r,s,47
r,t,32
r,u,46
r,v,49
r,w,23
r,x,50
r,y,18
s,t,34
s,u,10
s,v,48
s,w,23
s,x,29
s,y,22
t,u,36
t,v,29
t,w,28
t,x,27
t,y,19
u,v,29
u,w,26
u,x,19
u,y,44
v,w,33
v,x,33
v,y,11
w,x,25
w,y,20
x,y,39
